|CROP NAME|GENERAL INFORMATION|SOIL INFORMATION
80| POPLAR   |Poplar is deciduous tree and belongs to family of Salicaceae. These are fastest growing tree under ideal climatic conditions. Poplars wood and bark are used for making plywood, boards, matchsticks, also for making sports good and pencil. In India, plant can grow upto height of 85 feet or above with in life span of 5 to 7 years. Major poplar producing states in India are Haryana, Punjab, Uttarakhand, Uttar Pradesh, Himachal Pradesh, Jammu & Kashmir, Arunachal Pradesh and West Bengal.|Avoid alkaline and saline soils for poplar cultivation. It gives best result when grown on fertile loamy soils rich in organic matter. For poplar cultivation Ideal pH of soil should be between 5.8 to 8.5.
81| SAGWAN   |"Sagwan (Teak) is tropical hardwood species and belong to family of Lamiaceae. It is most valuable and high price timber crop of India. It is deciduous tall tree upto 40 m tall with grey to greyish brown branches. In India, sagwan plantation take place in 1842 and Chatu Menon from Kerala state is known as ""Father of Indian Teak Plantation"". It is most important hardwood and use for making of furniture, plywoods, all types of construction pole, ship building etc."|For good growth, it required well drained, deep and fertile soil. pH of soil should be 6.5 or above. Growth of plant get affected when pH is less 6.5.
82| SAGWAN   ||
83| BANANA    ||Banana is the second most important fruit crop of India next to mango. It is available round the year and because of its taste, nutritive and medicinal value. It is favorite fruit of all classes of people. It is a rich source of carbohydrate and vitamins particularly vitamin B. Banana helps to reduce the risk of heart diseases. Also, it is recommended for patients suffering from high arthritis, blood pressure, ulcer, gastroenteritis and kidney disorders. From banana, various products are made such as chips, banana puree, jam, jelly, juice, etc. Banana fibre is used to make items like bags, pots and wall hangers. Rope and good quality paper can be prepared from banana waste. In India, banana ranks first in production and third in the area among fruit crops. Within India, Maharashtra has the highest productivity. The other major banana producing states are Karnataka, Gujarat, Andhra Pradesh and Assam.
84| ||
85| ||It is grown in variety of soils ranging from poorest to the richest type of soils such as deep silty, clay, loam and rich loamy soil is suited best for banana farming. The soil having pH 6-7.5 is preferred for banana cultivation. For banana growing, select soil having good drainage, adequate fertility, and moisture capacity. Soils which are rich in nitrogen content and have adequate phosphorus content and high level of potash are good for banana cultivation. Avoid waterlogged, poor aerated and nutritionally deficient soils. Also avoid sandy, saline, calcareous and extremely clayey soils.
86| BER   |Indian jujube or Ber also known as poor man fruit is hardy fruit crop suitable for arid region. Ber is rich source of Protein, Vitamin C and minerals. It is cultivated throughout the country. Madhya Pradesh, Bihar, Uttar Pradesh, Punjab, Haryana, Rajasthan, Gujarat, Maharashtra, Tamil nadu and Andhra Pradesh are major Ber growing states. It is a common and fourth important fruit crop (after kinnow, mango, gauva) of Punjab state.|It can cultivated on wide range of soil like from shallow to deep, from gravely and sandy to clay soil. It can also grow on marginal and soil that are unfit for cultivation. It can withstand in saline, alkaline soil also in waterlogging soil to some extent. Deep sandy loamy soils with good drainage capacity are ideal soil for ber cultivation.
87| DATE PALM  ||Date palm is oldest tree cultivated on earth. They are excellent source of calcium, sugar, iron and potassium. They are used in many social and religious festivals. Also they have many health benefits like relive constipation, reduce heart disease, control diarrhea and help in pregnancy. It is also used for making different products such as Chutney, pickles, jam, juice and other bakery items.   
88|Date cultivation is mainly concentrated in Arabic countries, Israel and Africa. Iran is major producer and exporter of dates. From last decades Indian Government take lot of effort and increased area under date palm cultivation. In India, Rajasthan, Gujarat, Tamil Nadu and Kerala are major date growing states. ||
89| ||It can be cultivated in any soil, don’t have any specific requirement. But for good growth and yield, it required well drained, deep sandy loam soil. pH of soil should be in range of 7-8. Avoid soils having hard pan upto 2meter below soil layer. Saline and alkaline soils are also suitable for cultivation but yield obtained is low.
90| DATE PALM  ||
91| DATE PALM  ||
92| CARNATION  |Carnations are most important cut flowers of world. Most preferred flower for commercial purpose because of their excellent keeping quality, withstand in long distance transportation and remarkable quality to rehydrate. Europe and USA cultivated this crop on large area where as in India it is cultivated on smaller scale. Himachal Pradesh, Punjab, West Bengal, Jammu and Kashmir and Karnataka are major carnation producing states. Flowers come in different shades such as yellow, pink, lavender etc.|It can be grown on any type of soil but soil with good drainage capacity gives best results. Rich sandy loam or loamy sand is most ideal soil for carnation cultivation. pH of soil for optimum growth of crop is about 5.5 to 6.5.
93| GRAPES  |It is very popular crop in the world and commercially grown in most countries. It is a perennial and deciduous woody climbing vine. It is a good source of vitamin B and minerals such as calcium, phosphorus, and iron. Grapes are used for raw eating and are used for making various products such as jelly, jam, raisins, vinegar, juice, seed oil and grape seed extracts. Grape farming is mainly done in France, USA, Turkey, South Africa, China, Portugal, Argentina, Iran, Italy, and Chile. Among these China is the largest country doing grape farming. It also has health benefits such as it is used to control diabetes, relieves from asthma, heart issues, constipation, bone health etc. It is also useful for skin and hair health related issues.|It is grown in a variety of soil but good fertile soil having pH range of 6.5-8.5 having good water holding capacity is suited best for grape farming.
94| GUAVA   |Common but important commercial fruit crop of India. It is native to Central America. It can grow in tropical and sub-tropical areas. It is rich source of Vitamin C and Pectin along with Calcium and Phosphorus. It is the fourth most important crop after Mango, Banana and Citrus. It can be grown all over India. Bihar, Uttar Pradesh, Maharashtra, Karnataka, Orissa, WB, AP and Tamilnadu are the major stated growing guava. Also it can be successfully grown throughout Punjab, Haryana and Uttar Pradesh. In Punjab, it occupies an area of 8022ha with annual production of 160463MT.|It is a hardy crop. And grows wells in all type of soil from poor,  alkaline and ill drained soil. It can grow in soil having pH ranging  from 6.5 to 7.5. It gives best results when grown under deep, well  drained, sandy loam to clay loam soil.
95| JAMUN   |Jamun is known as the indigenous crop of India. Its fruits are used for eating and seeds are used to prepare various drugs. Drugs prepared from Jamun plant is used to cure diabetes and increased blood sugar level. It is an evergreen tree with average height of 30m having brown or grey bark. Leaves are smooth which are 10-15cm long and 4-6cm wide. Flowers are yellow in color which is 5mm in diameter and having green fruits which turns crimson red at maturity.  Fruits bear seeds which are 1-1.5cm long. Afghanistan, Myanmar, Philippines, Pakistan, Indonesia and India are the countries where Jamun plant can grow. Maharashtra, Tamil Nadu, Gujarat, Assam and Rajasthan are major Jamun growing states in India.|It is grown in variety of soils because of its hardy nature. They can grow in sodic soil, poor soil, saline soil, calcareous soil and can be grown in marshy soils. They can even survive in poorly drained soil. It gives best result when grown in fertile, deep loamy soil with good drainage system. Avoid cultivation in heavy soil and sandy soil. 
96| KINNOW  |Citrus is originated in South East Asia. It comprises Kinnow, Oranges, Lime and Lemon; these are major fruit crops of Punjab. Kinnow is cultivated throughout North India. In India, Citrus is third largest fruit crop after Banana and Mango. Citrus fruits are important source of Vitamin C. Punjab, Rajasthan, Haryana, Himachal Pradesh, Jammu and Kashmir and Uttar Pradesh are major Kinnow growing states.|It can be grown on wide range of soil ranging from sandy loam soils to clay loam or deep clay loam or acidic soils with good drainage facility. Crop not thrives well in saline and alkaline soils also it cannot withstand in waterlogged soils. For optimum crop growth, pH of soil should be in range of 5.5 to 7.5.
97| LITCHI   |Juicy fruit having excellent quality. It is a rich source of Vitamin C along with B complex Vitamin. Its origin is from Southern China. India is second largest producer of litchi in the World after China. In India its cultivation is restricted to Jammu and Kashmir, Uttar Pradesh and Madhya Pradesh but due to increasing demand its cultivation is spread to other states like Bihar, Jharkhand, Chhattisgarh, Orissa, Punjab and Haryana, Uttaranchal, Assam, Tripura and West Bengal.|It can be grown on variety of soil. Deep, fertile, well drained, medium texture soil is suitable for litchi cultivation. pH of soil should be 7.5 to 8. Litchi crop cannot tolerate high pH and saline soils.  
98| LOQUAT  |In India mainly it is known as Lukat or Lugath. It is an evergreen and subtropical fruit tree. It attains the height of 5-6m and is spreading in nature. The fruit is native to central-eastern China and is mainly grown in Taiwan, Korea, China and Japan countries. In India loquat farming is done in Delhi, Punjab, Himachal Pradesh, Maharashtra, Assam and Uttar Pradesh states. It also has health benefits such as it helps to improve skin health and eye vision, helps in weight loss, maintains blood pressure and increases blood. It also helps in strengthening of teeth and bones. In Punjab it is mainly grown in Roop Nagar, Hoshiarpur, Gurdaspur and Patiala districts. The fruit mainly ripens in end-march to April and fetches good price.|Loquat requires sandy loam soil which is rich in organic matter and has a good drainage system.
99| MANGO    |It is known as king of fruits and cultivated in India from old time. Mango is rich source of Vitamin A and C; its leaves are used as fodder in case of shortage of fodder while wood is used for furniture making. Unriped fruits are used for chutney, pickles and ripe fruits are used for eating purpose as well as for syrups, jam and jelly. It is commercially cultivated in Andhra Pradesh, Karnataka, West Bengal, Kerala, Bihar, UP, Uttarakhand, Punjab, Haryana, Maharashtra, Gujarat.|It can be grown on variety of soil. Deep soil without any hard pan upto depth of 4feet is required for mango cultivation. pH of soil should be less than 8.5%.
100| MULBERRY    |Mulberry tree is known as Morus alba in botanical name. The primary use of Mulberry leaves is to feed silkworm. Mulberry has wide medicinal use such as for making blood tonic, cure dizziness, constipation, tinnitus, urinary incontinence etc. It is also used for making fruit juice which is very popular in Korea, Japan and China. It is a perennial plant with average height of 40-60 feet. Flowers are compactly arranged which gives violet black color fruits. Punjab, Haryana, Himachal Pradesh, West Bengal, Karnataka, Andhra Pradesh and Tamil Nadu are major Mulberry growing states in India.|It is grown in variety of soil conditions ranging from loamy to clayey, deep fertile to flat soil having good drainage system and good water holding capacity. For good plant growth, it requires pH ranging from 6.2-6.8.  
101| MUSKMELON   |It is important vegetable crop of India. These are mother fruits of  several better-known cultivars. Muskmelon is native to Iran, Anatolia  and Armenia. Musk melon is rich source of Vitamin A and Vitamin C. It  contains about 90% of water and 9% Carbohydrates. In India muskmelon  growing state includes Punjab, Tamil Nadu, Uttar Pradesh, Maharashtra,  and Andhra Pradesh.|It grows well in deep fertile and well-drained soil. It gives best  result when grown on well drained loam soil. Soil having poor drainage  capacity is not suited for Muskmelon cultivation. Follow crop rotation  as continuous growing of same crop on same field leads loss of  nutrients, poor yield and more disease attack. pH of soil should be in  between 6-7. Alkaline soil with high salt concentration is not suitable  for cultivation.
102| ORANGE/ MANDARINS (SANTRA)   |Orange is widely grown citrus fruit of India. It occupies nearly 50% of total area under citrus cultivation. Mandarin, Sweet Orange is commercially grown citrus species in India. Production of Mandarin orange is increasing every year in central and western parts of country. India ranks third in the production of orange after banana and mango fruits. In India, Orange is being grown in Rajasthan, Himachal Pradesh, Punjab and Uttar Pradesh.|It can be grown on wide variety of soils. Medium-Light Loam soils with pH of 6.0-8.0 are suitable for its best growth.
103| PAPAYA  ||It is a tropical fruit which is native to Mexico. It belongs to “Caricaceae” family and “Carica” genus. It is a fast growth plant which has long fruiting period and contains high nutritional value. India is known as the largest producer of papaya. It can be grown in pots, greenhouse, polyhouse and containers. It also has health benefits such as it helps to relieve constipation, cancer, helps in lowering cholesterol, and helps in fighting with cancer cells. It is a rich source of Vitamin A and C. In India, Maharashtra, Karnataka, west Bengal, Orissa, Jammu and Kashmir, Bihar, Gujarat, Himachal Pradesh, U.K, Tamil Nadu and Andhra Pradesh are major states doing papaya farming. 
104| ||It is grown in wide range of soils. Hilly soil having well drainage system is suited best for papaya farming. Avoid cultivation in sandy or heavy soil. The pH soil ranging from 6.5-7.0 is best for papaya farming.
105| PEACH   ||Peach is an important stone fruit crop of the temperate zone. High quality peaches are produced in higher hills e.g. J.H. Hale, Alberta and Matchless peaches. In the plains during nineteen sixties only inferior quality peach ‘Chakali’ was grown. With the introduction of low chilling requiring peaches from Florida it has become the most important fruit of plains. The harvest time period of peach rang from April-July. Peach is usually taken as garden-fresh, though, delightful squash can also be prepared from its varieties. The peach kernels essential oil can be used in producing of plenty of cosmetic products as well as medicinal products. They are rich in several essential minerals like potassium, fluoride as well as iron.
106|This area has a subtropical climate. Areas in Punjab where peach cultivation is high in Ludhiana, Amritsar, Hoshiarpur, Jalandhar, Ferozepur, Muktsar sahib, Patiala, Sangrur, Bathinda, Ropar, SAS nagar, SBS nagar, Fatehgarh.||Peach requires deep sandy loam soil rich in organic matter with good drainage. The pH of the soil should be between 5.8 and 6.8. Acidic and saline soils are unfit for peach cultivation. The land with gentle slope is ideal for peach cultivation. The fruit thrives best in foothills, high hills and mid hills situation.
107| PEAR (NASHPATI)   |Important fruit crop of temperate region. It belongs to the family  Rosaceae. It can be grown at 1,700-2,400m above mean sea-level. Pear fruit  is rich source of Protein and Vitamins. due to its wider adaptability  of climate and soil pear can be grown in subtropical to temperate  regions. In India Pear is cultivated in Himachal Pradesh, Jammu and  Kashmir and U.P and low chilling varieties do well in subtropical  regions.|It can be grown on variety of soil ranging from sandy loam to clay loam. It  gives best results when grown in deep, well drained, fertile soil  without having any hard pan upto 2meter depth. pH of soil should not be  more than 8.7.
108| PLUM   |Plum plants are extensively oriented, limited, as well as require minimum care compared to almost all fruits plants. Plum is full of Vitamin A, B, (Thiamine), riboflavin along with nutrients such as calcium, phosphorus as well as iron. The properly merged acidity with sugar is beneficial in the processing of jams as well as squashes. The dry plums are best known prunes. The prunes possess excellent Ayurveda remedial significance. Liquid made from the prunes is beneficial in treating jaundice as well as summer bite.|Plum develops on an array of soils, deep fertile as well as properly drained, loamy land with a pH of 5.5-6.5. The land must be clear of hard pan, water logging as well as extreme salts. 
109| SAPOTA  |It is native to Mexico and other native countries of South America. It is commonly known as Chiku and it is mainly cultivated in India. It is mainly used for the production of latex which is used for the preparation of chewing gums. In India, it is mainly grown in Karnataka, Tamil Nadu, Kerala, Andhra Pradesh, Maharashtra, and Gujarat. Sapota is cultivated in 65thousand acre of land and gives an annual production of 5.4lakhs metric tonnes. Its fruit is berry which contains 3-5 black shining seeds.|It is grown in variety of soil but deep alluvial, sandy loam soil and black soil having good drainage are ideal for doing sapota farming. pH having 6.0-8.0 is optimum for sapota farming. Avoid cultivation in shallow clayey soil and in high calcium content.
110| SWEET ORANGES (MALTA)   |Malta is citrus fruit grown in India. It is commonly called as  sangtra. It occupies nearly 30% of total area under citrus cultivation.  Mandarin, Sweet Orange is commercially grown citrus species in India.  Production of Mandarin orange is increasing every year in central and  western parts of country. India ranks third in the production of orange  after banana and mango fruits. In India, Orange is being grown in  Rajasthan, Himachal Pradesh, Punjab and Uttar Pradesh.|It can be grown on wide variety of soils. Medium-Light Loam soils with pH of 6.0-8.0 are suitable for its best growth.
111| WATERMELON   |Watermelon is originated in South Africa. It is an important cucurbitaceous vegetable in India. It is an excellent desert fruit and its juice contain 92% water along with proteins, minerals and carbohydrates. In Japan, cubic shape watermelon are popular, they grow watermelon in glass box and give cubic shape. Watermelons are mainly cultivated in Maharashtra, Karnataka, Tamil Nadu, Punjab, Rajasthan, Madhya Pradesh, and Uttar Pradesh.|Watermelon grows well in deep fertile and well-drained soil. It gives best result when grown on sandy or sandy loam soil. Soil having poor drainage capacity is not suited for watermelon cultivation. Follow crop rotation as continuous growing of same crop on same field leads loss of nutrients, poor yield and more disease attack. pH of soil should be in between 6-7.
112| WATERMELON   ||
113| ALOE VERA    |It derives its name “Aloevera” from arabic word Alloeh which means shining bitter substance. The inner part of leaf which contains gel and latex are used for preparing various medicines. It contains Vitamins A, B1, B2, B6, B12, Folic Acid, Niacine. Medicines prepared from Aloevera used for burns and sunburn, as well as a variety of skin diseases like eczema, pruritus, psoriasis, acne etc. It is stemless plant with average height of 24cm-39cm having thick and fleshy leaves. The leaves attain the height of 0.5m. The major planting areas of Aloevera are India, Australia, USA, Japan and Europe. In India it is found in Punjab, Andhra Pradesh, Arunachal Pradesh, Assam, Gujarat, Haryana, Jharkhand, Kerala, Madhya Pradesh, Maharashtra, Manipur, Mizoram, Nagaland, Orissa, Rajasthan, Uttaranchal states.|The plant can be grown in a variety of soils ranging from sandy coastal soils to loamy soils of plains. It cannot withstand in water logging conditions. It gives best results when grown under well drained loam to coarse sandy loam having pH ranges up to 8.5. 
114| AMLA   |Amla is commonly known as an Indian gooseberry or Nelli. It is known for its high medicinal properties.  Its fruits are used for preparing various drugs. Drugs prepared from amla used for treatment of anemia, sores, diarrhea, toothache, and fever. Fruits are the rich source of Vitamin-C. The green fruits of amla are also used in making pickles. Many products such as shampoo, hair oil, dye, tooth powder and face creams are made from amla. It is a branching tree with average height of 8-18 m with glabrous branches. Flowers are greenish-yellow in color and are of two type’s i.e. male flower and female flower. Fruits are pale-yellow in color and are 1.3-1.6 cm in diameter. Uttar Pradesh and Himachal Pradesh are major amla growing states in India.|Owing to its hardy nature it is grown in variety of soils. It is grown in slightly acidic to saline soils and can be grown in calcareous soil. It gives best result when grown under fertile-loamy soil with good drainage system. It can also tolerate moderate alkaline soil. It requires pH of soil ranging 6.5-9.5. Avoid cultivation in heavy soils.
115| ASHWAGANDHA   |"Ashwagandha is also known as wonder herbs as it have multiple medicinal property. It derives its named ""Ashwagandha"" as its roots smell like horse and it vitalize body. Its seeds, root and leaves are used for preparing various drugs. Drugs prepared from Ashwagandha used for stress reliever, to treat senile dysfunction also used to control anxiety, depression, phobia, schizophrenia etc. It is a branching shrub with average height of 30cm-120cm with fleshy, whitish brown roots. Flowers are greenish in color with orange-red berries. Rajasthan, Punjab, Haryana, Uttar Pradesh, Gujarat, Maharashtra and Madhya Pradesh are major growing states in India."|Ashwagandha gives best result when grown in sandy loam or mild red soil with good drainage having pH in the range of 7.5 to 8.0. Growing Ashwagandha is not possible in soil that retains moisture and remains waterlogged. The soil should be loose, deep and well drained. Black or heavy soils having good drainage are also suitable for ashwagandha cultivation.
116| BAHERA    |In Sanskrit Bahera is known as karshaphala, kalidruma and vibhitaki. Its fruits are mainly used for preparing various drugs. Drugs prepared from Bahera are used for treatment of swollen parts, skin diseases, premature graying of hairs, lowering of cholesterol and lowers blood pressure. It is a deciduous tree with average height of 30m. The bark is brownish grey in color. The leaves are elliptical in shape and are 10-12cm long. The fruits are ovoid in shape and the kernels are sweet in taste. Madhya Pradesh, Uttar Pradesh, Maharashtra and Punjab are major Bahera growing states in India.|Because of its hardy nature it is grown in variety of soil. The soil must contain good moisture content. It gives best result when grown under moist, deep, sandy loam soil with well drainage system. It can tolerate even shade in early seedling stage.   
117| BHUMI AMALAKI   |Bhumi amalaki known as Phyllanthus which means” leaf and flower”. It is an annual herb with average height of 30-40cm. Flowers are whitish-green in color and are small elliptic-oblong shaped. It is rich in the source of vitamin C. Whole plant is used for preparing various products as well as medicines. Bhumi amalaki is used for treatment of jaundice, asthma, skin diseases, cough and also purifies blood. It is found throughout the world including southern china, Sothern India and Bahamas. In India it is grown in Chhattisgarh, Jharkhand, Bihar etc.|It is grown in wide variety of soil ranging from alkaline to neutral and acidic soil. It also grown on calcareous soil with well drainage system and on light textured soils.
118| BRAHMI   |The botanical name of Brahmi is Bacopa monnieri and belongs to family Scrophulariaceae. It is mainly found in warmer and humid conditions. Whole herb i.e. seeds, roots, leaves, rhizomes etc. are used for preparing various drugs. Drugs prepared from Brahmi is used as anticancer and used to cure anemia, asthma, diuretic, tumours and epilepsy. It is also used as an antidote for snake bite. It is a creeping annual herb with average height of 2-3 feet with branched roots at the nodes. Flowers are of whitish or pale blue in color with small and oval shaped fruit. Seeds are 0.2-0.3mm in size with dark brown in color. North and South America, Europe, Australia, southern India, Asia and Africa are major countries growing Brahmi.|It grows in variety of soils. It can even tolerate poor drainage system. It gives best result in alluvial marshy soil. It can be grown in marshy areas, canals and several water bodies. It requires acidic soil for its good growth.
119| DILL SEEDS   |Dill is annual herbaceous crop having leaves with pleasant smell and warm taste and yellow attractive flowers. The Indian dill is native of Northern India. It looks like fennel plant grows from 2 to 2.5 feet. Its seed and leaves are used as spice. They are used in soups, salads, sausage and pickling. Dill seeds and oil have medicinal property and used for preparing medicine. Oil is extracted from seeds, leaves and stems. India and Pakistan are major dill seed producing countries. In India major dill seeds cultivating states are Punjab, Uttar Pradesh, Gujarat, Maharashtra, Assam and West Bengal.|Any fertile soil is suitable for dill cultivation. For good growth, it required well drained and rich organic content soils. Ideal pH range for optimum growth is about 5 to 7, and average pH of 6.2.
120| HONEY   |Honey plant is annual herb having height of 80-120 cm. It is also known as Madhugida in Kannada. It belongs to the family of Apiaceae. It is mainly use for medicinal purpose. It is a commercial source of xanthotoxin which is used for treatment of leucoderma or vitiligo. This plant is native of Egypt and it was first introduced in India in 1955. It is cultivated successfully in temperate and subtropical region of Himachal Pradesh, Uttar Pradesh, Gujarat, Tamil Nadu and Karnataka.|It can be grown on wide range of soils, but it gives best result when grown on well drained sandy loam to loamy soils.
121| INDIAN BAEL    |Bael, is known for its nutritional and medicinal values. Bael is a domestic fruit tree of India having religious importance. It is also known as Bengal quince, Indian quince, golden apple, holy fruit, stone apple. It is known from the pre-historic times. Drugs prepared from bael used to cure diarrhoea, dysentery,  peptic  ulcer, respiratory  infections and  relieving constipation. It is a deciduous tree with 6-8 meters in height with greenish white and sweet scented flowers. Fruits are oblong and pyriform in shape.  Because of the   Important  medicinal  properties  of  bael such as antidiabetic,  antimicrobial,  anti-inflammatory,  antipyretic,  analgesic,  cardioprotective, antispermatogenic, anticancer and radioprotective it is considered to be medicinal plant. Bael is found growing along foothills of Himalayas, Uttar Pradesh, Bihar, Chattisgarh, Uttaranchal, Jharkhand, Madhya Pradesh, The Deccan Plateau and along the East Coast.|Good sandy loam soil, sunny condition, warm humid climate are suitable for cultivation of this plant. It requires pH ranging from 5 to 8. Use warm soil i.e. 75- 90F.
122| KALIHARI   |Kalihari is also known as Gloriosa superba. It is a perennial herb and can be grown as climber. Its underground tubers, leaves, seeds and roots are used for preparing various drugs. Drugs prepared from kalihari are used for the treatment of rheumatism, anthelmintic, antipatriotic and induce polyploidy. Various tonics and syrups are made from the Kalihari plant. The average height of plant is 3.5-6m. The leaves are 6-8inch long and are sessile. Flowers are green in color and fruits are 2 inches long. The seeds are numerous and are compressed. Africa, Asia, USA and Sri Lanka are major crop growing countries. Tamil Nadu and Karnataka are major Kalihari growing states in India.| It gives best result in red sandy loam soil. Avoid cultivation of crop in hard soil. The soil having pH ranging from 5.5-7 is best for crop growth.  
123| LEMON GRASS   |Lemon grass is also known as China grass. Lemon grass has wide range of therapeutic and antimicrobial value. Its leaves are mainly used for preparing various drugs. Drugs prepared from lemongrass are used to cure various problems such as headaches, tooth-aches and for fever. It is an aromatic plant with average height 1-3m tall. The leaves are 125cm long and 1.7cm broad. It grows in India, tropical and subtropical parts of Africa, America and Asia. In India it is mainly grown in Punjab, Kerala, Assam, Maharashtra, Uttar Pradesh and Madhya Pradesh.|It can grow in varieties of soil ranging from clayey to sandy, alluvial soil and loamy soil having good drainage system. It gives best result when grown under loamy-sand soils with high organic content. It can even tolerate poor soil. Avoid cultivation in soil which have poor drainage system or have long water holding capacity. 5.0-8.5 pH soil ranges best for the growth of the crop.
124| MULETHI   |It is known as sweet root and is used to prepare various ayurvedic medicines. Its roots are used for preparing various drugs. Drugs prepared from mulethi are used to cure skin problems, jaundice, ulcers, bronchitis etc. It is perennial shrub with average height of 1-2m. Flowers are of purple to pale whitish blue in color having 0.8-1.2cm length. Fruits contain numerous seeds and are 2-3cm long. Roots are sweet in taste and have no odor. It is found throughout the world in Greek, China, Egypt and India and is native to parts of Asia and southern Europe. In India it is cultivated in Punjab and sub Himalayan tracts.|Owing to its hardy nature it is grown in variety of soils i.e. acidic to slightly alkaline soil. If soil is alkaline it requires pH of 5.5-8.2. It gives best result when grown under sandy loam fertile soil having pH of 6-8.2.
125| NEEM   |It is popularly known as the miracle tree as it has multipurpose use. Neem oil extracted from its seeds is used in medicines, pest control and cosmetics etc. Its leaves are used to treat the Chickenpox. In south India its wood is used to make the furniture. Neem cake is widely used in India as fertilizer. This has been used as a medicinal plant for long time and provides almost all the requirements of rural areas. It is a tall evergreen tree up to 100 feet tall. It blossoms in spring with the small white flowers.|It can easily be grown in the dry, stony, shallow, clayey soils also on saline and alkaline soils, with pH upto 8.5. It gives best result when grown in black cotton soil and deep well drained soil. It cannot withstand water-logged areas and poorly drained soils.
126| PUDINA   |Pudina also known as mentha is an energizing herb. Mint is used as mint oil, tooth pastes, mouth washes and flavoring agents in many dishes. Its leaves are used for preparing various drugs. Drugs prepared from mint are used in treatment of nasal, rheumatism, neuralgia, carminative and bronchial treatment. It is used in wide range of pharmaceutical. It is a small herb with average height of 1-2 feet with spreading root stocks. Leaves are 3.7-10cm long and have purplish small flowers. It is originated from Mediterranean basin. It is found mainly in Angola, Thailand, china, Argentina, Brazil, japan, India and Paraguay. Uttar Pradesh and Punjab are major mint growing states in India. |It grows in variety of soil i.e. medium to fertile deep soil having good water holding capacity. It can survive in poor water logging. It gives best result under rich humus soil. The pH ranging from 6-7.5 suited best for the crop
127| SADABAHAR   |It is a perennial herb and is found in two basic forms i.e. Vinca major and Vinca minor. It is branching and erection herb. The plant has glossy leaves having oval to oblong shape. The leaves are arranged in opposite manner having pale midrib and short petiole. Flowers mainly have 5 petals having pale pink or purple eye in the centre. The drugs of this crop are used to cure leukemias, lymphomas and childhood cancers and some other cancerous and non-cancerous conditions. It is basically originated from Madagascar and is grown in throughout India.|Full sun and well-drained soil are preferred. Because of its hardy nature they can be grown in almost all type of soil, they can grow even in infertile soil. Doesn’t use too fertile as it will affect the flowering of plant. The pH ranges from 6 to 6.5 which is acidic is suitable for plant growth.
128| SAFED MUSLI   |The botanical name of Safed musli is Chlorophytum borivilianum. Its roots are used for preparing various drugs. It is an annual herb having average height of 1-1.5ft. Flowers are star shaped, 2cm across and yellow or green in color. Fruits are greenish to yellow in color and mainly produce in July – December. Roots are in cluster having black seeds. It is found mainly in tropical and subtropical Africa. Assam, Maharashtra, Andhra Pradesh and Karnataka are major Safed musli growing areas.|It can be grown in variety of soil ranging from loamy to sandy soil having good drainage system. It can tolerate mountain slopes or sloppy lands. It gives best result when grown under red soil rich in organic matter. Avoid cultivation in water lock conditions. The soil having pH ranging from 6.5-8.5 is best for plant growth.
129| SARPAGANDHA   |It is an important crude drug used for making modern medicines and ayurvedic medicines. Its roots emit a characteristic aroma but are bitter in taste. Its roots are used for preparing various drugs. Drugs prepared from Sarpagandha are used to treat wounds, fever, colic, urinary retention, insomnia, hypertension, epilepsy and insanity. It is a shrub having average height of 0.3-1.6m. Leaves are oblong and are 8-15cm long. Flowers are white or rose color, fruits are purplish black in color and roots are 0.5-3.6cm in diameter. Burma, Bangladesh, Malaysia, Sri Lanka, Indonesia and the Andaman islands are major countries growing Sarpagandha. In India, Uttar Pradesh is major Sarpagandha growing state.|Because of its hardy nature it is grown in variety of soil type ranging from red lateritic loamy soil to sandy alluvial loamy soil. It gives best result when grown under soil rich with humus and nitrogenous substance having organic matter with good drainage system. It can tolerate moderate clayey soil and clay loamy soil. It grows best when pH of soil ranges from 4.6-6.5.
130| SHANKHPUSHPI   |Shankhpushpi also known as wonderful herb because of its multiple medicinal properties. It is mostly used to make Ayurvedic medicines. Its whole part i.e. leaves, roots, stem and other vegetative parts are used for preparing various drugs. Drugs prepared from Shankhpushpi used for the treatment of Asthma, bronchitis, insomnia, insanity, hematemesis, constipation and some kind of ulcers. It is a perennial herb with average height of 2-3 inches in height. Leaves are oblong having light blue flowers and 6-10 black seeds. It is mainly grown in India, Sri Lanka and Myanmar. Meharauni and Lalitpur forest ranges are major Shankhpushpi growing areas in India.|It can grow in variety of soil ranging from black cotton soil to loamy soil having good drainage system. It gives best result in red sandy loam soil. It can also tolerate marginal lands having proper drainage system. The soil having pH 5.5-7 suits best for the crop.
